año,mes,cve_ent,entidad,cve_mun,minicipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2014,1,9,Ciudad de México,,No distribuido,11,2,1,1,,,,,29,3461215.25
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,5,1,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,4,1,209966.19
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,1,331901.47
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,5,2071045.88
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,1,525912.06
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,5,4,2,819241.13
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,1,259415.44
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,4,4,1,569161.44
2014,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,6,4,2,776901.56
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,,3,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,2,,5,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,3,,5,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,5,,1,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,6,,3,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,1,,4,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,2,,2,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,3,,2,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,4,,2,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,6,,1,0
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,1,5,3,1,289549.75
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,1,6,4,1,164972.53
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,4,3,1,248300.41
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,2,4,4,1,218766.16
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,2,6,5,1,339165.75
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,4,3,1,352384
2014,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,6,3,1,134123.25
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,1,1,2,155257
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,2,2,1,306233
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,5,4,3,1570980
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,3,1,621000
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,4,5,2939459
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,5,3,3664154
2014,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,6,1,5850000
2014,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,4,1,1,240969
2014,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,4,3,1,218267
2014,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,6,3,1,130920
2014,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,6,4,4,2300050
2014,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,6,5,5,5511237
2014,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,6,6,2,5340200
2014,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,,,6,3,1,493678
2014,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,,,6,5,1,1170861
2014,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,,,6,3,1,51218
2014,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,,,6,5,1,121474
2014,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,2,4,4,1,862669.81
