año,mes,cve_ent,entidad,cve_mun,minicipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2017,1,9,Ciudad de México,,No distribuido,11,2,1,1,,,,,87,10975037
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,1,4,2,179437.77
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,5,4,1,132406.47
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,4,2,424417.81
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,5,1,177186.81
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,2,4,1,149249.59
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,3,4,1,114668.99
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,4,4,1406167.13
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,5,1,315618.59
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,3,778673.69
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,3,1,584353.94
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,13,4874942.5
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,5,1571310
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,3,6,4,1,781741.13
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,6,4,2,367623.88
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,6,5,2,571581.63
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,1,6,1,113577.17
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,2,4,1,103297.5
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,4,4,2,306253.91
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,4,3,1155876.38
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,5,1,126109.36
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,4,1653869.88
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,3,1115755.25
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,2,4,1,351996.53
2017,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,5,4,1,945032.94
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,2,,4,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,5,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,1,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,2,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,3,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,4,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,5,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,6,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,2,1,2,229130.58
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,4,1,1,163993.05
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,1,1,1,184454
2017,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,6,2,1,308125.34
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,1,4,4,1,221525.64
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,4,4,1,231062.92
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,5,4,1,575327.63
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,4,2,412007.09
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,2,6,4,1,363140.5
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,2,6,5,1,473008.63
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,2,5,1,262445.56
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,6,5,1,1654386.13
2017,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,2,1,4,4,1,529054.94
2017,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,4,4,2,2072089.88
2017,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,1,2,2,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,1,2,4,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,2,2,2,,5,0
2017,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,2,2,3,,2,0
2017,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,2,2,4,,2,0
2017,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,2,2,5,,2,0
2017,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,1,2,4,4,1,1081520.75
2017,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,1,3,4,4,1,1200000
2017,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,2,2,4,4,1,820000
2017,1,9,Ciudad de México,2,Azcapotzalco,3,4,4,1,1,2,2,4,1,554054.63
2017,1,9,Ciudad de México,2,Azcapotzalco,4,1,2,2,,,6,3,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,6,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,3,3,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,3,4,,1,0
2017,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,2,3,2,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,5,3,1,246759.55
2017,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,6,3,1,582776
2017,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,6,5,1,258766.89
2017,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,2,6,5,6,2055408.5
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,1,,2,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,2,,4,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,3,,3,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,6,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,1,1,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,1,,2,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,2,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,3,,2,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,5,,2,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,6,,3,0
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,4,1,2,271048.94
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,5,2,1,329800
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,3,1,4,509209
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,4,1,2,268613.38
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,5,1,1,163022.56
2017,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,6,2,2,623670.25
2017,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,4,1,625163.25
2017,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,6,1,759729.13
2017,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,2,3,3,5,1,411637.25
2017,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,1,2,6,5,1,1109612
2017,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,2,2,3,5,1,619805.69
2017,1,9,Ciudad de México,3,Coyoacán,3,2,1,2,1,2,2,,5,0
2017,1,9,Ciudad de México,3,Coyoacán,3,2,1,2,1,2,3,,4,0
2017,1,9,Ciudad de México,3,Coyoacán,3,2,1,2,2,2,1,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,3,2,1,2,2,2,2,,6,0
2017,1,9,Ciudad de México,3,Coyoacán,3,2,1,2,2,2,3,,2,0
2017,1,9,Ciudad de México,3,Coyoacán,3,2,1,2,2,2,5,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,3,3,3,1,1,2,5,4,1,1013110.25
2017,1,9,Ciudad de México,3,Coyoacán,3,3,3,1,1,3,3,4,1,898238.75
2017,1,9,Ciudad de México,3,Coyoacán,3,3,3,1,2,2,4,4,3,3298157
2017,1,9,Ciudad de México,3,Coyoacán,3,4,4,1,1,2,4,6,1,1004421.38
2017,1,9,Ciudad de México,3,Coyoacán,4,2,1,1,1,2,3,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,4,2,1,1,1,3,1,,1,0
2017,1,9,Ciudad de México,3,Coyoacán,10,1,2,1,1,2,3,4,1,951000
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,1,3,,1,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,1,,2,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,2,,2,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,3,,1,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,4,,1,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,2,2,5,,1,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,1,1,2,5,2,1,286345.94
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,1,1,2,6,2,2,690468.5
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,1,2,1,6,1,695174.94
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,1,2,6,5,1,485990.41
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,2,2,6,5,1,196016.59
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,4,4,1,1,3,6,2,1,274688.91
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,3,2,1,2,1,2,2,,1,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,3,2,1,2,2,2,1,,2,0
2017,1,9,Ciudad de México,4,Cuajimalpa de Morelos,4,3,3,2,1,2,6,6,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,2,6,4,2,984866
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,2,2,5,3,2,497780.13
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,2,2,6,4,1,304061.69
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,1,,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,2,,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,3,,2,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,6,,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,1,,7,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,2,,7,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,3,,7,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,4,,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,5,,2,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,6,,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,3,4,,1,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,1,,5,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,2,,3,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,3,,3,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,4,,2,0
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,1,1,1,76580.14
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,3,1,3,358344.25
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,4,1,2,379861.13
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,4,2,1,337846.16
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,5,2,2,622636.5
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,3,4,1,1,192919.42
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,2,2,3,1,1,163579.39
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,2,2,5,1,1,256561.13
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,2,2,6,3,1,387683.59
2017,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,2,1,2,6,4,1,325536.63
