año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,2,4,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,6,5,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,4,4,1,347383.3
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,1,457473.01
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,2,1128948.55
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,2,4,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,6,4,1,363815.5
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,2,5,1,317079.99
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,4,1,364400.24
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,1,587713.15
2020,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,3,1822932.47
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,2,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,4,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,4,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,6,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,2,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,3,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,5,,1,0
2020,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,4,2,845402.69
2020,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,5,1,573261.7
2020,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,1,6,4,1,1182324.82
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,4,4,1,724315
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,4,6,1,1057472
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,5,5,1,1282107
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,6,4,2,2453400
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,6,5,1,1682380
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,1,4,5,1,1274156
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,1,6,5,1,1927000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,3,4,1,690000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,4,5,1,2300000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,2,6,5,2,2987381
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,1,3,6,4,2,2240000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,2,5,1,1300000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,5,5,3,5438446
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,4,3,3650000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,5,1,2353121
2020,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,6,2,7450000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,2,1,1,57534
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,3,1,1,57534
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,5,1,1,57534
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,1,1,1,1,24611
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,2,1,1,2,65496
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,2,2,1,1,33200
2020,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,1,1,1,1,19516
2020,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,2,1,2,6,5,1,2802669
2020,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,1,2,5,4,1,1046847
2020,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,1,6,4,1,1350000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,2,4,5,1,1216096
2020,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,2,6,5,1,2115000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,3,6,5,1,1935000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,,1,2,2,4,4,1,1157074
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,1,2,4,4,2,654394
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,1,2,6,5,1,2635656
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,2,2,6,4,1,204432
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,1,2,4,4,1,689132
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,1,2,6,5,1,1100000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,1,3,6,6,1,1100000
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,2,2,6,6,1,3963958
2020,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,2,3,6,5,1,1500000
