año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,1,6,6,1,3400000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,3,4,1,1555712
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,3,5,1,1807036
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,4,4,1,1709000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,5,4,2,2095000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,4,2,1033622
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,5,3,4238714
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,2,6,6,2,4508452
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,3,3,4,1,1410000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,2,3,6,4,1,1433750
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,1,1,1,1,18455
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,1,2,1,1,11624
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,1,3,1,1,40445
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,1,1,8,182264
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,2,1,7,299177
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,3,1,1,54885
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,1,2,4,1,3,110677
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,1,1,1,1,20195
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,2,1,1,4,76780
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,2,2,1,2,85513
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,2,3,1,1,38034
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,2,2,2,5,1,1,54885
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,1,1,1,1,17215
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,1,2,1,1,15965
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,1,2,3,1,1,45094
2019,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,2,2,6,6,1,800000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,2,1,1,5,4,1,1275000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,2,1,2,4,4,1,1411431
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,1,1,5,5,1,1980000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,1,2,6,5,2,4628559
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,2,6,4,2,2250000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,2,6,5,3,4879194
2019,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,2,3,6,4,1,1200000
2019,1,9,Ciudad de México,2,Azcapotzalco,2,4,,1,1,2,4,3,1,268106
2019,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,2,4,4,2,2399552
2019,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,3,6,4,1,1333306.45
2019,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,3,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,2,2,1,,1,0
2019,1,9,Ciudad de México,2,Azcapotzalco,7,1,2,1,1,2,1,5,1,3000000
2019,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,,6,4,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,,6,6,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,2,4,1,341996.18
2019,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,6,5,2,928004.61
2019,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,,6,6,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,2,6,5,2,1485068.23
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,1,2,,3,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,1,3,,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,1,,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,2,,2,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,1,3,,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,3,,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,4,,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,6,,1,0
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,1,1,1,79190.04
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,2,1,2,217242.93
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,3,1,4,737065.52
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,4,1,2,252001.55
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,3,6,1,2,429740.98
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,1,1,1,128747.62
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,2,1,2,220809.99
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,3,1,4,531360.03
2019,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,2,2,5,1,2,308974.77
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,1,6,4,1,370854.28
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,5,1,915124.65
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,6,2,1930613.52
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,2,2,6,5,1,849251.27
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,1,2,6,5,1,2076166.19
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,2,1,1,4,1,292289.14
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,2,2,3,3,1,545159.19
2019,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,2,2,4,4,1,571778.67
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,1,2,6,5,2,1460356
2019,1,9,Ciudad de México,3,Coyoacán,2,1,2,2,1,2,6,6,4,10029920
