año,mes,cve_ent,entidad,cve_mun,minicipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2016,1,9,Ciudad de México,,No distribuido,3,2,1,2,1,,2,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,6,4,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,4,1,157074.41
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,5,1,179206.31
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,2,4,1,547776.13
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,3,5,2,257122.63
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,4,1,171782.98
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,6,1569789.63
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,14,5005714
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,8,3659790.25
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,3,6,4,1,234988.16
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,6,4,2,523278
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,1,4,1,158112.98
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,3,4,1,173933.78
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,4,2,726215.06
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,5,2,381571.88
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,9,2864809.75
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,7,2953450
2016,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,1,1,3,1,295625.88
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,1,,4,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,2,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,3,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,4,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,10,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,2,,8,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,7,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,4,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,5,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,6,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,3,2,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,1,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,3,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,10,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,4,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,3,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,6,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,1,1,142959
2016,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,5,1,760235.38
2016,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,2,6,4,1,224605.09
2016,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,1,1,3,1,202954.91
2016,1,9,Ciudad de México,2,Azcapotzalco,1,4,4,1,1,2,5,3,1,526999.81
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,3,4,1,886000
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,3,5,1,1010600
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,4,3,1,252500
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,4,4,1,372932
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,5,4,2,1453629
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,4,18,16244759
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,5,13,14958357
2016,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,6,1,2000000
2016,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,,,1,1,10,169418
2016,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,,,2,1,10,324843
2016,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,,,3,1,8,307296
2016,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,,,4,1,2,110394
2016,1,9,Ciudad de México,2,Azcapotzalco,2,2,1,1,,,6,1,1,48162
2016,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,6,5,1,945159
2016,1,9,Ciudad de México,2,Azcapotzalco,2,4,,1,,,4,3,1,553654
2016,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,,,5,4,1,548543
2016,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,,,6,3,1,344526
2016,1,9,Ciudad de México,2,Azcapotzalco,2,4,4,1,,,6,6,2,2484640
2016,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,,,6,4,1,1177500
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,2,4,4,1,1086587.88
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,2,5,4,1,1011551
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,1,3,4,1,740656.5
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,1,4,1,404426.63
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,2,4,1,504735.16
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,3,4,1,687669.06
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,4,4,1,1092092.38
2016,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,5,4,2,2222000
2016,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,2,,1,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,3,2,1,2,2,,3,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,2,2,2,4,1,555086.13
2016,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,2,2,3,3,1,656150.5
2016,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,2,2,4,4,1,850880.88
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,1,1,1,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,1,1,2,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,1,2,1,,4,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,1,2,2,,3,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,1,2,3,,4,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,1,3,1,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,2,1,1,,1,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,2,2,1,,6,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,2,2,2,,3,0
2016,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,2,2,2,6,,2,0
2016,1,9,Ciudad de México,2,Azcapotzalco,9,3,3,1,1,2,,3,1,728312
2016,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,,5,5,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,5,4,1,228007.92
2016,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,6,5,2,872522.38
2016,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,1,2,6,6,1,152749.44
2016,1,9,Ciudad de México,3,Coyoacán,1,1,2,2,2,2,6,4,1,392560.34
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,1,1,,2,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,1,3,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,1,,2,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,2,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,3,,6,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,4,,4,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,5,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,2,6,,4,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,1,3,6,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,1,2,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,1,3,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,1,,6,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,2,,1,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,3,,2,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,4,,2,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,2,2,2,6,,2,0
2016,1,9,Ciudad de México,3,Coyoacán,1,2,1,1,1,2,6,2,1,387683.59
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,5,4,1,110005.69
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,4,3,1827758.38
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,1,2,6,5,2,917029
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,2,2,5,5,1,181375.69
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,2,2,6,4,1,511669.63
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,2,2,2,6,5,1,381265.63
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,1,2,5,4,1,855999.88
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,1,2,6,4,2,1830575.75
2016,1,9,Ciudad de México,3,Coyoacán,1,3,3,1,2,2,6,4,1,1036423.94
2016,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,,,3,3,1,422905
2016,1,9,Ciudad de México,3,Coyoacán,2,1,2,1,,,5,4,3,1854686
