año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2018,1,9,Ciudad de México,,No distribuido,11,2,1,1,,,,,52,6578696.8
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,5,4,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,6,4,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,2,669889.27
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,5,3900535.68
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,5,2441250.98
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,6,4,2,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,4,4,1,259960.89
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,4,5,1,622349.16
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,6,2244662.92
2018,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,2,2415406.47
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,2,,2,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,4,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,4,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,6,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,2,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,3,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,3,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,3,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,4,,1,0
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,1,6,986200
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,2,2,826009
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,2,1,1,88755
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,3,1,1,114702.5
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,4,1,1,137368.49
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,1,1,1,256000
2018,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,1,2,1,337200
2018,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,5,3,1,111145.58
