año,mes,cve_ent,entidad,cve_mun,minicipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,6,5,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,4,4,1,273527.38
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,4,3,1318111.38
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,2,4,1,361609.13
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,4,1,311705.5
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,5,3201353.75
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,8,3986845.5
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,5,4,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,6,5,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,6,4,1,630499.25
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,4,4,1,365461.94
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,5,4,1,578534.38
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,6,3028929
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,,2,3,4,1,313297.94
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,1,4,4,1,495774.72
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,1,5,4,1,690522.94
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,5,4,1,561407.94
2015,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,3,4,1,267323.59
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,,2,3,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,1,2,,4,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,1,3,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,1,6,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,,10,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,1,1,64946.26
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,2,,10,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,3,,4,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,4,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,5,,3,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,6,,2,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,1,1,,2,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,1,2,,3,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,1,4,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,1,,13,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,2,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,3,,2,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,4,,2,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,5,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,6,,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,1,5,4,1,269793.34
2015,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,2,4,1,161609.09
2015,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,4,1,846309.5
2015,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,2,2,1,298211.38
2015,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,1,1,2,4,2,1,321749.25
2015,1,9,Ciudad de México,2,Azcapotzalco,1,4,4,1,2,2,6,2,1,407794.91
2015,1,9,Ciudad de México,2,Azcapotzalco,1,4,4,1,2,2,6,4,1,1118966.75
2015,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,4,2,1,306560
2015,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,4,3,1,260000
2015,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,4,4,1,267159
2015,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,5,4,6,3239411
2015,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,4,16,10991172
2015,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,1,,,6,5,5,7253603
2015,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,5,4,3,1599029
2015,1,9,Ciudad de México,2,Azcapotzalco,2,3,3,1,,,6,5,2,4100636
2015,1,9,Ciudad de México,2,Azcapotzalco,2,4,,1,,,6,4,2,194656
2015,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,,,6,4,2,968300
2015,1,9,Ciudad de México,2,Azcapotzalco,2,4,6,1,,,6,5,1,500000
2015,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,2,2,4,1,524943.63
2015,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,1,2,4,4,2,2091563.38
2015,1,9,Ciudad de México,2,Azcapotzalco,3,1,2,1,2,2,4,4,2,1841202.75
2015,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,1,2,2,3,1,465919.13
2015,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,1,2,4,4,4,3529482.75
2015,1,9,Ciudad de México,2,Azcapotzalco,3,3,3,1,2,2,5,4,1,1020000
2015,1,9,Ciudad de México,2,Azcapotzalco,4,1,2,1,1,2,5,4,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,4,1,2,1,1,2,6,4,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,4,1,2,1,2,2,3,4,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,4,1,2,1,2,2,4,4,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,4,1,2,1,2,3,5,4,1,0
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,1,1,,2,10680.98
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,1,3,,1,5137.47
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,1,,8,77958.35
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,2,,9,164718.22
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,3,,7,165683.84
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,4,,9,168916.88
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,2,6,,3,43759.18
2015,1,9,Ciudad de México,2,Azcapotzalco,4,2,1,1,1,3,3,,2,40756.98
