año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2022,1,9,Ciudad de México,,No distribuido,4,2,1,1,,,,,0,424765
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,2,4,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,6,5,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,1,6,5,1,585662.08
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,4,4,1,851294.11
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,4,1,607649.6
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,3,2624025.68
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,6,8439326.68
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,2,4,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,2,5,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,4,4,1,272542.19
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,4,4,1,314607.98
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,4,1,1399292.33
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,3,2905946.75
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,1,4,1,290293.58
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,4,4,1,807337.74
2022,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,5,4,1,1510461.18
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,1,,7,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,2,,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,3,,2,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,1,4,,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,6,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,2,,7,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,2,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,4,,2,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,6,,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,1,,1,0
2022,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,1,2,,1,0
