año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2021,1,9,Ciudad de México,,No distribuido,4,2,1,1,,,,,0,190350
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,,6,5,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,2,5,1,441136.71
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,3,5,1,285157.49
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,5,5,1,433825.25
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,4,3,2812264.81
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,1,2,6,5,2,1588211.36
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,,2,4,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,1,6,4,1,405471.87
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,5,6,3983323.31
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,2,2,2,6,6,1,987001.09
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,1,2,5,4,1,1030938.86
2021,1,9,Ciudad de México,2,Azcapotzalco,1,1,2,1,2,2,4,4,1,655083.76
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,1,,5,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,2,,3,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,1,2,3,,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,1,,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,2,,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,3,,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,4,,2,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,2,5,,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,2,2,3,1,,1,0
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,1,1,1,209396.08
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,2,1,2,215887.5
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,3,1,1,132583.98
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,4,1,3,389042.48
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,1,2,5,1,1,306170
2021,1,9,Ciudad de México,2,Azcapotzalco,1,2,1,1,2,2,2,1,1,244485.1
2021,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,4,3,2481018.3
2021,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,5,1,456586.59
2021,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,1,2,6,6,1,1094672.39
2021,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,1,4,4,1,324543.19
2021,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,1,5,3,1,890507.78
2021,1,9,Ciudad de México,2,Azcapotzalco,1,3,3,2,2,2,6,4,1,505898.82
2021,1,9,Ciudad de México,2,Azcapotzalco,2,1,2,2,1,2,4,5,1,1425390
