MAPA,Estatus,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,AMBITO,LATITUD,LONGITUD,LAT_DECIMAL,LON_DECIMAL,ALTITUD,CVE_CARTA,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
90020001,,9,Ciudad de MŽxico,CDMX,2,Azcapotzalco,1,Azcapotzalco,U,"19¡29«02.770N\""","099¡11«03.698W""",19.484102,-99.18436,2244,E14A39,432205,204950,227255,134204
90030001,,9,Ciudad de MŽxico,CDMX,3,Coyoac‡n,1,Coyoac‡n,U,"19¡21«00.770N\""","099¡09«43.724W""",19.350214,-99.162146,2247,E14A39,614447,289110,325337,191646
